"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000254772",32824,21405,27044,0,0,0,1.67464175223269e-38,"EEF1G",15,NA
"ENSG00000268734",2181,2611,19247,0,0,0,8.05477320755194e-25,"AC245128.3",43,NA
"ENSG00000214736",640,1239,1168,0,0,0,5.89375846729441e-21,"TOMM6",64,NA
"ENSG00000211675",500,685,976,0,0,0,1.54257258819878e-20,"IGLC1",71,NA
"ENSG00000274012",2867,2115,673,0,0,0,1.96714091189255e-19,"RN7SL2",84,NA
"ENSG00000213689",326,572,850,0,0,0,5.23364669771498e-19,"TREX1",89,NA
"ENSG00000267368",802,770,526,0,0,0,1.60221487472171e-18,"UPK3BL1",96,NA
"ENSG00000145029",380,241,779,0,0,0,8.06079451272717e-18,"NICN1",108,NA
"ENSG00000266820",314,274,1246,0,0,0,1.80726517816875e-17,"KPNA2P3",115,NA
"ENSG00000213073",606,361,282,0,0,0,1.01560767532708e-15,"CHP1P2",145,NA
"ENSG00000213931",415,2762,255,0,0,0,2.23634740558083e-14,"HBE1",194,NA
"ENSG00000279117",236,296,176,0,0,0,3.36957049155776e-14,"AP001972.5",202,NA
"ENSG00000263647",160,104,573,0,0,0,4.48059416121678e-14,"BPTFP1",209,NA
"ENSG00000211596",136,104,266,0,0,0,4.58230586426755e-14,"IGKJ2",210,NA
"ENSG00000231259",129,91,146,0,0,0,9.65310206258506e-13,"ANAPC1P2",260,NA
"ENSG00000215837",83,82,281,0,0,0,1.05268314951343e-12,"SDHAP2",262,NA
"ENSG00000253797",54,161,301,0,0,0,2.2514280451047e-12,"UTP14C",285,NA
"ENSG00000218227",148,105,103,0,0,0,5.11876677889929e-12,"AC136632.1",312,NA
"ENSG00000255455",98,55,400,0,0,0,7.4988742668321e-12,"AP003486.1",323,NA
"ENSG00000230733",52,117,738,0,0,0,1.17901707447706e-11,"AC092171.2",331,NA
"ENSG00000272821",157,41,233,0,0,0,1.824926576145e-11,"U62317.1",348,NA
"ENSG00000259623",40,88,264,0,0,0,4.07066829674922e-11,"AC125257.1",381,NA
"ENSG00000280153",327,77,98,0,0,0,5.00587585576187e-11,"AC133065.3",387,NA
"ENSG00000204196",48,95,61,0,0,0,7.21980663442754e-10,"RPL12P16",515,NA
"ENSG00000142694",28,129,86,0,0,0,1.78544122493469e-09,"EVA1B",573,NA
"ENSG00000139574",33,33,202,0,0,0,2.57536183952521e-09,"NPFF",603,NA
"ENSG00000204822",29,39,85,0,0,0,2.773065516817e-09,"MRPL53",607,NA
"ENSG00000279095",33,31,79,0,0,0,3.91424737284066e-09,"AC243964.4",636,NA
"ENSG00000207165",74,77,34,0,0,0,4.46483019679376e-09,"SNORA70",655,NA
"ENSG00000284048",127,56,35,0,0,0,5.31170417383766e-09,"AC073111.2",673,NA
"ENSG00000263335",73,19,99,0,0,0,6.10919440283631e-09,"AF001548.2",688,NA
"ENSG00000272760",36,25,87,0,0,0,6.13847606618491e-09,"AC093726.1",689,NA
"ENSG00000283375",24,31,156,0,0,0,9.78294953721364e-09,"AC087521.4",727,NA
"ENSG00000260401",169,12,117,0,0,0,1.52430123497196e-08,"AP002761.4",768,NA
"ENSG00000265967",75,15,69,0,0,0,3.71242358717087e-08,"AC100830.3",874,NA
"ENSG00000279519",16,39,79,0,0,0,3.80022346510669e-08,"AC007382.1",878,NA
"ENSG00000228638",14,45,92,0,0,0,4.15218028373598e-08,"FCF1P2",887,NA
"ENSG00000230673",67,66,19,0,0,0,5.79720636180799e-08,"PABPC1P3",924,NA
"ENSG00000243509",60,60,20,0,0,0,6.49885829721765e-08,"TNFRSF6B",940,NA
