"padj","gene","symbol","rank","rank_change"
5.97977653476442e-70,"ENSG00000163464","CXCR1",1,0
2.66620259037862e-57,"ENSG00000129226","CD68",2,26180
1.66423579869882e-56,"ENSG00000162747","FCGR3B",3,-1
2.3269412975141e-56,"ENSG00000132522","GPS2",4,20906
7.1292053901893e-56,"ENSG00000182196","ARL6IP4",5,19617
5.24004363497887e-51,"ENSG00000219200","RNASEK",6,379
6.39231719578763e-46,"ENSG00000157551","KCNJ15",7,-4
3.34335909091134e-45,"ENSG00000170296","GABARAP",8,10206
1.30838657587846e-43,"ENSG00000236438","FAM157A",9,-5
9.76683550320803e-43,"ENSG00000100288","CHKB",10,26113
1.289678651617e-40,"ENSG00000169564","PCBP1",11,8095
2.86314335070385e-40,"ENSG00000185883","ATP6V0C",12,21273
5.06756105047482e-40,"ENSG00000149925","ALDOA",13,4635
4.11776025234663e-39,"ENSG00000248098","BCKDHA",14,14928
1.67464175223269e-38,"ENSG00000254772","EEF1G",15,NA
1.34811641848169e-37,"ENSG00000271303","SRXN1",16,22526
2.73317570372473e-35,"ENSG00000135083","CCNJL",17,-10
4.59286158803196e-34,"ENSG00000184106","TREML3P",18,-13
3.10316648167496e-33,"ENSG00000213999","MEF2B",19,13415
3.10316648167496e-33,"ENSG00000216490","IFI30",20,5738
1.1223970367673e-32,"ENSG00000198858","R3HDM4",21,-15
1.0128791170661e-30,"ENSG00000173486","FKBP2",22,9018
1.50424688780384e-30,"ENSG00000185900","POMK",23,131
3.04394046693025e-30,"ENSG00000148346","LCN2",24,-16
1.04608345588145e-29,"ENSG00000213977","TAX1BP3",25,34101
2.09550456465717e-29,"ENSG00000092098","RNF31",26,30341
4.28195292134753e-29,"ENSG00000278970","HEIH",27,506
1.62288212505455e-28,"ENSG00000162032","SPSB3",28,24028
6.64257824804933e-28,"ENSG00000112245","PTP4A1",29,15147
1.90640859406382e-27,"ENSG00000124614","RPS10",30,24264
1.96065323645141e-27,"ENSG00000100359","SGSM3",31,26355
7.5710552079081e-27,"ENSG00000204936","CD177",32,-22
8.56757118883148e-27,"ENSG00000157404","KIT",33,-18
9.81283475413601e-27,"ENSG00000138641","HERC3",34,40465
3.43966514263334e-26,"ENSG00000139637","MYG1",35,30971
3.48159205715759e-26,"ENSG00000055955","ITIH4",36,21490
4.34367041751903e-26,"ENSG00000113389","NPR3",37,-18
8.65748329123658e-26,"ENSG00000204435","CSNK2B",38,8568
