"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000285417",6,0,12,4595,1561,2923,6.33605758892243e-15,"BX571818.1",64,NA
"ENSG00000286071",16,8,9,922,1105,1198,1.75562888155092e-12,"AL136171.2",124,NA
"ENSG00000286051",0,0,0,2418,482,6603,3.64039476978828e-12,"AC244102.3",137,NA
"ENSG00000129682",34,32,509,4,4,1,2.18573834660484e-09,"FGF13",294,NA
"ENSG00000286742",2,3,0,819,445,3285,2.6859732276125e-09,"AC000065.1",296,NA
"ENSG00000286153",7,1,16,484,872,957,4.74239355185358e-09,"AP000331.1",323,NA
"ENSG00000286616",2,1,3,306,187,289,9.82062001929783e-09,"AL008730.1",374,NA
"ENSG00000286545",3,4,2,287,237,334,1.30153897240308e-08,"AC092645.2",398,NA
"ENSG00000287195",18,7,10,1402,2177,507,1.34972097393362e-08,"AC131568.1",402,NA
"ENSG00000283208",5,6,4,331,282,439,1.35973205563876e-08,"AC001226.2",403,NA
"ENSG00000287932",0,0,0,323,121,999,5.76114155290393e-08,"AC000065.2",518,NA
"ENSG00000204389",16939,2396,3445,673,733,929,1.59248884499048e-07,"HSPA1A",600,NA
"ENSG00000260007",5,12,22,498,395,367,2.10282898777539e-07,"AC107871.1",626,NA
"ENSG00000107317",114,657,39,19,4,1,5.64182366128117e-07,"PTGDS",749,NA
"ENSG00000285692",0,0,0,93,204,135,1.01607317268253e-06,"AC023509.6",844,NA
"ENSG00000285650",1,0,0,193,195,191,1.19617946973143e-06,"AL157827.2",869,NA
"ENSG00000287255",24,248,1325,40,7,5,1.36139283492395e-06,"AC007877.1",902,NA
"ENSG00000286341",6,5,6,278,622,187,1.36370263502042e-06,"AP002762.3",903,NA
"ENSG00000198892",524,57,135,42,11,18,1.88827969008637e-06,"SHISA4",955,NA
"ENSG00000287408",0,0,1,225,223,132,1.88904089000584e-06,"AC027811.1",957,NA
"ENSG00000287555",7,2,8,195,233,314,1.97696961050857e-06,"AC023424.2",962,NA
"ENSG00000286320",3,3,1,217,151,439,2.01343228481006e-06,"AC108053.1",964,NA
"ENSG00000286512",2,0,12,303,290,449,3.44891071619862e-06,"AL031768.2",1051,NA
"ENSG00000287771",20,11,285,4,0,0,4.41816747254049e-06,"AC007271.1",1104,NA
"ENSG00000288048",1,0,2,757,43,564,4.50641987166197e-06,"AC104088.3",1112,NA
"ENSG00000235655",713,612,7580,207,491,319,4.74399850846616e-06,"H3P6",1124,NA
"ENSG00000286550",2,0,1,116,142,203,8.13448917062445e-06,"AL591002.1",1272,NA
"ENSG00000285303",0,0,0,46,330,122,8.14413576572089e-06,"AC004381.4",1275,NA
"ENSG00000287680",8,3,1,440,204,383,1.14847563204384e-05,"AC093330.3",1370,NA
"ENSG00000285803",2,0,2,126,169,101,1.25885958206257e-05,"AL442003.1",1393,NA
"ENSG00000286672",2,0,0,159,130,223,1.29279871532833e-05,"AL096712.2",1403,NA
"ENSG00000287945",0,0,0,57,124,91,1.40573805813824e-05,"AL603824.1",1435,NA
"ENSG00000286245",0,0,0,55,90,158,1.43379424340988e-05,"AC125437.3",1438,NA
"ENSG00000285774",30,15,9,1,2,1,1.48582191411556e-05,"AL133444.1",1449,NA
"ENSG00000168314",13,7,257,4,3,0,1.79398727634775e-05,"MOBP",1514,NA
"ENSG00000285999",4,4,17,161,396,395,1.80450653632395e-05,"AC025442.2",1518,NA
"ENSG00000271821",8,9,65,2,1,0,1.82378847331927e-05,"AL662844.3",1522,NA
"ENSG00000286214",15,6,53,841,670,593,1.95916608025116e-05,"AUXG01000058.1",1546,NA
"ENSG00000287727",1,2,0,138,106,145,2.150215320025e-05,"AL139423.2",1578,NA
"ENSG00000203811",46,80,12,6,0,5,2.35462732077248e-05,"H3C14",1613,NA
"ENSG00000287351",4,3,0,158,277,203,2.38752025823984e-05,"AC092120.3",1619,NA
"ENSG00000288065",1,0,5,130,130,125,2.42723407762022e-05,"AC007881.4",1628,NA
"ENSG00000157654",115,190,141,2545,4036,4236,3.07168809342196e-05,"PALM2AKAP2",1699,NA
"ENSG00000091583",86,1,9,0,0,0,3.34628927545697e-05,"APOH",1734,NA
"ENSG00000288032",0,0,0,56,71,86,3.36583210524231e-05,"AC104472.5",1740,NA
"ENSG00000286912",0,0,0,196,26,127,3.89075417919069e-05,"AC006008.1",1780,NA
"ENSG00000286864",8,0,0,575,543,479,3.99114960278243e-05,"AC012076.1",1788,NA
"ENSG00000285966",23,46,8,0,1,4,4.84866685527728e-05,"AC007686.4",1853,NA
"ENSG00000287125",1,3,0,233,165,84,5.17632824274337e-05,"AC018695.9",1867,NA
"ENSG00000287044",0,0,0,52,57,103,5.594236771683e-05,"AL139106.1",1893,NA
"ENSG00000286825",3,0,0,103,210,142,6.26313577026992e-05,"AL096870.10",1957,NA
"ENSG00000287403",0,0,0,37,81,107,6.57005690078345e-05,"AC016245.2",1978,NA
"ENSG00000284770",16,1,10,362,503,448,6.61667865778994e-05,"TBCE",1981,NA
"ENSG00000287613",0,2,0,129,85,235,7.75525182521728e-05,"AC069549.2",2035,NA
"ENSG00000286481",12,49,7,2,0,0,7.84877824135803e-05,"AC011246.1",2046,NA
"ENSG00000285979",46,31,30,904,806,628,8.92288060666035e-05,"AC009090.6",2087,NA
"ENSG00000286997",11,2,4,206,240,587,9.22236325196206e-05,"AC005856.1",2097,NA
"ENSG00000281591",0,0,0,12,42,808,9.42619540116667e-05,"DBET",2102,NA
"ENSG00000287608",4,0,0,202,123,167,9.59573610491947e-05,"AC022137.3",2111,NA
"ENSG00000286715",1,0,0,98,91,75,0.000101840777456571,"AL589863.2",2133,NA
"ENSG00000287087",1,0,0,104,79,79,0.000108665842630872,"AC025175.2",2171,NA
"ENSG00000272980",1,0,0,64,97,117,0.000117506890828973,"Z94721.2",2218,NA
"ENSG00000284154",39,9,20,6,6,5,0.000119444317392407,"MIR3605",2231,NA
"ENSG00000136872",177,12,34,12,12,12,0.00013914610433625,"ALDOB",2290,NA
"ENSG00000286599",7,3,4,127,146,168,0.000151981975172164,"AC110611.1",2337,NA
"ENSG00000287466",0,0,0,66,50,43,0.000154601792639681,"AL355531.1",2345,NA
"ENSG00000287957",1,0,4,113,74,109,0.000165479985848294,"AC007695.1",2372,NA
"ENSG00000286894",0,0,0,40,64,56,0.000168659691138938,"AC009141.1",2377,NA
"ENSG00000284946",14,9,3,321,400,348,0.000172403512973695,"AC068831.6",2395,NA
"ENSG00000287663",0,0,0,41,37,149,0.000177987407860938,"AL122020.2",2415,NA
"ENSG00000285701",1,0,1,69,97,131,0.000179198548592151,"AL357140.4",2427,NA
"ENSG00000287719",24,6,14,0,0,2,0.000184986828066774,"AP001531.1",2438,NA
"ENSG00000286236",3,22,117,5,6,1,0.000187342829447905,"AC018755.5",2443,NA
"ENSG00000285719",0,0,0,42,25,238,0.000209541330738887,"AL356275.1",2497,NA
"ENSG00000286757",1,3,2,102,72,110,0.000214958760710509,"AL137139.2",2514,NA
"ENSG00000286721",1,0,0,99,36,206,0.000233491933493854,"AC010623.1",2569,NA
"ENSG00000285108",2,1,0,14,277,690,0.000233504094255843,"AC103718.1",2570,NA
"ENSG00000152766",41,153,5898,39,189,21,0.000258777725951907,"ANKRD22",2626,NA
"ENSG00000286633",1,4,0,94,129,353,0.000264366557442966,"AL160400.1",2635,NA
"ENSG00000287242",1,0,0,74,59,93,0.00026677676552801,"AC073593.2",2638,NA
"ENSG00000286431",16,4,12,278,213,506,0.000275317161889877,"BX842570.1",2650,NA
"ENSG00000284959",4,7,1,226,130,257,0.000279304635071977,"AC007262.2",2657,NA
"ENSG00000137267",391,26,76,43,18,33,0.000282067110952459,"TUBB2A",2665,NA
"ENSG00000286849",4,0,0,114,138,151,0.00029112363107476,"AC009152.6",2684,NA
"ENSG00000286899",4,0,1,113,183,81,0.000297283575505876,"AL139286.2",2697,NA
"ENSG00000263677",0,0,0,6,159,184,0.000322345204050632,"AC012588.1",2740,NA
"ENSG00000285596",10,5,8,150,179,167,0.000322487614794653,"AC017116.2",2744,NA
"ENSG00000285658",2,0,0,99,76,94,0.000332052049035049,"AC127035.1",2762,NA
