"padj","gene","symbol","rank","rank_change"
5.26035963741174e-69,"ENSG00000163464","CXCR1",1,0
1.90557391308809e-56,"ENSG00000162747","FCGR3B",2,1
6.67937914450455e-45,"ENSG00000157551","KCNJ15",3,4
7.41774007323493e-44,"ENSG00000236438","FAM157A",4,5
4.53975317550536e-36,"ENSG00000184106","TREML3P",5,13
5.4543374833494e-36,"ENSG00000198858","R3HDM4",6,15
6.40860588386217e-36,"ENSG00000135083","CCNJL",7,10
7.04730378398764e-30,"ENSG00000148346","LCN2",8,16
2.64788222676567e-26,"ENSG00000090238","YPEL3",9,35
7.50555812911251e-26,"ENSG00000204936","CD177",10,22
2.70877013480156e-25,"ENSG00000077522","ACTN2",11,87
3.13149045274513e-24,"ENSG00000126262","FFAR2",12,30
3.34440044404287e-24,"ENSG00000105701","FKBP8",13,35
4.34260259825413e-24,"ENSG00000099804","CDC34",14,44
8.19381417213695e-24,"ENSG00000157404","KIT",15,18
1.55255376969631e-23,"ENSG00000151651","ADAM8",16,49
2.26124516024669e-23,"ENSG00000198125","MB",17,82
2.48247337807703e-23,"ENSG00000219507","FTH1P8",18,110
2.52345326543061e-22,"ENSG00000113389","NPR3",19,18
6.05364907620526e-22,"ENSG00000129353","SLC44A2",20,48
2.48234207469879e-21,"ENSG00000143632","ACTA1",21,89
4.34291209475839e-21,"ENSG00000129355","CDKN2D",22,33
5.26761780460355e-21,"ENSG00000108244","KRT23",23,29
1.21591131669336e-20,"ENSG00000204160","ZDHHC18",24,46
1.27438999548008e-20,"ENSG00000176208","ATAD5",25,111
2.01215327915823e-19,"ENSG00000234975","FTH1P2",26,1378
6.9858063913694e-19,"ENSG00000173535","TNFRSF10C",27,20
7.51014113396564e-19,"ENSG00000159346","ADIPOR1",28,64
2.71136907048535e-18,"ENSG00000008516","MMP25",29,59
5.2151479439023e-18,"ENSG00000100453","GZMB",30,65
6.47168000429504e-18,"ENSG00000092054","MYH7",31,130
6.47168000429504e-18,"ENSG00000180871","CXCR2",32,62
6.47168000429504e-18,"ENSG00000185262","UBALD2",33,79
7.25419289514973e-18,"ENSG00000268903","AL627309.6",34,179
1.63968984821448e-17,"ENSG00000124102","PI3",35,81
1.71203500436029e-17,"ENSG00000132846","ZBED3",36,120
3.12638797812201e-17,"ENSG00000171502","COL24A1",37,17
4.24729249961057e-17,"ENSG00000105967","TFEC",38,88
4.24729249961057e-17,"ENSG00000114854","TNNC1",39,254
