"rank_change","symbol","rank","padj","gene"
0,"CXCR1",1,3.04080744925416e-69,"ENSG00000163464"
1,"FCGR3B",2,1.10385169059268e-56,"ENSG00000162747"
4,"KCNJ15",3,3.87326622734141e-45,"ENSG00000157551"
5,"FAM157A",4,4.37623972067746e-44,"ENSG00000236438"
13,"TREML3P",5,2.64530528974135e-36,"ENSG00000184106"
15,"R3HDM4",6,3.23015686858026e-36,"ENSG00000198858"
10,"CCNJL",7,3.7201017188345e-36,"ENSG00000135083"
16,"LCN2",8,4.04758806072653e-30,"ENSG00000148346"
35,"YPEL3",9,1.55776594463035e-26,"ENSG00000090238"
22,"CD177",10,4.29947429773094e-26,"ENSG00000204936"
87,"ACTN2",11,1.57554653471464e-25,"ENSG00000077522"
30,"FFAR2",12,1.80035235436425e-24,"ENSG00000126262"
35,"FKBP8",13,1.9389511687178e-24,"ENSG00000105701"
44,"CDC34",14,2.55504849990601e-24,"ENSG00000099804"
18,"KIT",15,4.73722992869318e-24,"ENSG00000157404"
49,"ADAM8",16,9.0516160314505e-24,"ENSG00000151651"
82,"MB",17,1.30400758581515e-23,"ENSG00000198125"
110,"FTH1P8",18,1.44637235781223e-23,"ENSG00000219507"
18,"NPR3",19,1.45613959887136e-22,"ENSG00000113389"
48,"SLC44A2",20,3.55852976049568e-22,"ENSG00000129353"
89,"ACTA1",21,1.4283113900845e-21,"ENSG00000143632"
33,"CDKN2D",22,2.52469218650758e-21,"ENSG00000129355"
29,"KRT23",23,3.03683435024763e-21,"ENSG00000108244"
46,"ZDHHC18",24,7.07776521063267e-21,"ENSG00000204160"
111,"ATAD5",25,7.4797087240112e-21,"ENSG00000176208"
1378,"FTH1P2",26,1.17327528951575e-19,"ENSG00000234975"
20,"TNFRSF10C",27,4.02031650658285e-19,"ENSG00000173535"
64,"ADIPOR1",28,4.36821665763926e-19,"ENSG00000159346"
59,"MMP25",29,1.56019291915066e-18,"ENSG00000008516"
65,"GZMB",30,3.00150134465571e-18,"ENSG00000100453"
63,"CXCR2",31,3.72425936113092e-18,"ENSG00000180871"
129,"MYH7",32,3.77671402760773e-18,"ENSG00000092054"
79,"UBALD2",33,3.77671402760773e-18,"ENSG00000185262"
179,"AL627309.6",34,4.17350773094068e-18,"ENSG00000268903"
81,"PI3",35,9.4541480059509e-18,"ENSG00000124102"
120,"ZBED3",36,9.98249681306228e-18,"ENSG00000132846"
17,"COL24A1",37,1.80273708247138e-17,"ENSG00000171502"
255,"TNNC1",38,2.46784281327375e-17,"ENSG00000114854"
87,"TFEC",39,2.47134477806186e-17,"ENSG00000105967"
43,"OAZ1",40,2.8122206175894e-17,"ENSG00000104904"
56,"LSP1",41,2.96411986225997e-17,"ENSG00000130592"
240,"MYBPC1",42,4.47974330560378e-17,"ENSG00000196091"
89,"MARCHF2",43,5.2890174001138e-17,"ENSG00000099785"
282,"NRAP",44,1.05161226794801e-16,"ENSG00000197893"
74,"PINK1",45,1.08516544222469e-16,"ENSG00000158828"
72,"ORM1",46,1.35872113057638e-16,"ENSG00000229314"
129,"ARID5A",47,1.90391689768326e-16,"ENSG00000196843"
377,"LDB3",48,2.44835922291619e-16,"ENSG00000122367"
166,"MYL2",49,3.95255289082772e-16,"ENSG00000111245"
259,"DLK1",50,3.99414621151236e-16,"ENSG00000185559"
119,"ABTB1",51,4.03375079688423e-16,"ENSG00000114626"
81,"FTL",52,4.61528952466228e-16,"ENSG00000087086"
77,"AL035661.1",53,5.261701149618e-16,"ENSG00000274173"
104,"ACSL1",54,6.69597170278815e-16,"ENSG00000151726"
769,"FTLP3",55,7.68827050547386e-16,"ENSG00000226608"
46,"ECM2",56,9.33627383835613e-16,"ENSG00000106823"
98,"DAPK2",57,1.3213483187651e-15,"ENSG00000035664"
49,"KIAA1549",58,1.47518473039616e-15,"ENSG00000122778"
83,"PDZK1IP1",59,2.1555957396669e-15,"ENSG00000162366"
170,"JMJD6",60,2.25483421596642e-15,"ENSG00000070495"
585,"ATP8B1",61,2.48286832992644e-15,"ENSG00000081923"
117,"BRCA2",62,2.4840388867741e-15,"ENSG00000139618"
74,"IFITM2",63,3.07134407609775e-15,"ENSG00000185201"
NA,"BX571818.1",64,3.64995892850016e-15,"ENSG00000285417"
120,"ATAD2",65,4.8272375774106e-15,"ENSG00000156802"
145,"DNAJB2",66,5.33829489552982e-15,"ENSG00000135924"
126,"PGLYRP1",67,6.03413511841113e-15,"ENSG00000008438"
110,"GPSM3",68,6.72142640782338e-15,"ENSG00000213654"
1321,"FTH1P7",69,7.55032787369315e-15,"ENSG00000232187"
79,"RNF10",70,7.68656836929988e-15,"ENSG00000022840"
63,"AGPAT5",71,7.68656836929988e-15,"ENSG00000155189"
123,"PROM1",72,9.22768745619293e-15,"ENSG00000007062"
116,"CMTM2",73,1.1882919070233e-14,"ENSG00000140932"
142,"WBP2",74,1.20084727209613e-14,"ENSG00000132471"
122,"IL1R2",75,1.35090464853576e-14,"ENSG00000115590"
111,"TRPM6",76,1.37100190662308e-14,"ENSG00000119121"
115,"GUK1",77,1.42520520002668e-14,"ENSG00000143774"
106,"ISG15",78,2.49342881499026e-14,"ENSG00000187608"
73,"PLIN5",79,2.49342881499026e-14,"ENSG00000214456"
-6,"HBQ1",80,3.00471575966628e-14,"ENSG00000086506"
197,"MYH1",81,3.07516614705217e-14,"ENSG00000109061"
92,"AQP9",82,3.14284477196725e-14,"ENSG00000103569"
218,"HSPB7",83,3.14284477196725e-14,"ENSG00000173641"
-6,"CSPP1",84,4.27310833119375e-14,"ENSG00000104218"
331,"FAM107A",85,4.27310833119375e-14,"ENSG00000168309"
76,"WDHD1",86,4.27310833119375e-14,"ENSG00000198554"
63,"KIR2DS4",87,5.40594788209434e-14,"ENSG00000221957"
92,"ELAPOR1",88,5.5899538040389e-14,"ENSG00000116299"
179,"NAMPT",89,7.36076218122799e-14,"ENSG00000105835"
622,"GFAP",90,7.7477934664517e-14,"ENSG00000131095"
684,"DKK3",91,8.38519610187659e-14,"ENSG00000050165"
1259,"IFITM3P1",92,8.39457583818355e-14,"ENSG00000236562"
141,"SCML2",93,9.09532804629633e-14,"ENSG00000102098"
