"padj","gene","symbol","rank","rank_change"
5.26038234302744e-69,"ENSG00000163464","CXCR1",1,0
1.90558291050799e-56,"ENSG00000162747","FCGR3B",2,1
6.67940807281351e-45,"ENSG00000157551","KCNJ15",3,4
7.41781897992862e-44,"ENSG00000236438","FAM157A",4,5
4.53977768517345e-36,"ENSG00000184106","TREML3P",5,13
5.45440253401066e-36,"ENSG00000198858","R3HDM4",6,15
6.40863514837975e-36,"ENSG00000135083","CCNJL",7,10
7.04730424500962e-30,"ENSG00000148346","LCN2",8,16
2.64790598164083e-26,"ENSG00000090238","YPEL3",9,35
7.50554887870832e-26,"ENSG00000204936","CD177",10,22
2.70878202516104e-25,"ENSG00000077522","ACTN2",11,87
3.13149119821808e-24,"ENSG00000126262","FFAR2",12,30
3.34441188160416e-24,"ENSG00000105701","FKBP8",13,35
4.34264106723163e-24,"ENSG00000099804","CDC34",14,44
8.19383284670484e-24,"ENSG00000157404","KIT",15,18
1.55256225586053e-23,"ENSG00000151651","ADAM8",16,49
2.26124758279333e-23,"ENSG00000198125","MB",17,82
2.48248575016471e-23,"ENSG00000219507","FTH1P8",18,110
2.52345685035133e-22,"ENSG00000113389","NPR3",19,18
6.05370010760424e-22,"ENSG00000129353","SLC44A2",20,48
2.48234303208854e-21,"ENSG00000143632","ACTA1",21,89
4.34293056468858e-21,"ENSG00000129355","CDKN2D",22,33
5.26762159384049e-21,"ENSG00000108244","KRT23",23,29
1.21591706447077e-20,"ENSG00000204160","ZDHHC18",24,46
1.2743997564088e-20,"ENSG00000176208","ATAD5",25,111
2.01216321233292e-19,"ENSG00000234975","FTH1P2",26,1378
6.98580899361506e-19,"ENSG00000173535","TNFRSF10C",27,20
7.51017382358876e-19,"ENSG00000159346","ADIPOR1",28,64
2.71136988653838e-18,"ENSG00000008516","MMP25",29,59
5.21514979309785e-18,"ENSG00000100453","GZMB",30,65
6.47168178592756e-18,"ENSG00000092054","MYH7",31,130
6.47168178592756e-18,"ENSG00000180871","CXCR2",32,62
6.47168178592756e-18,"ENSG00000185262","UBALD2",33,79
7.25419463372333e-18,"ENSG00000268903","AL627309.6",34,179
1.63969085758551e-17,"ENSG00000124102","PI3",35,81
1.71204368897327e-17,"ENSG00000132846","ZBED3",36,120
3.12639082181164e-17,"ENSG00000171502","COL24A1",37,17
4.24731117435324e-17,"ENSG00000105967","TFEC",38,88
4.24731117435324e-17,"ENSG00000114854","TNNC1",39,254
4.81662948688825e-17,"ENSG00000104904","OAZ1",40,43
5.0989578912404e-17,"ENSG00000130592","LSP1",41,56
7.78078456302736e-17,"ENSG00000196091","MYBPC1",42,240
9.09173090451029e-17,"ENSG00000099785","MARCHF2",43,89
1.82103913698307e-16,"ENSG00000197893","NRAP",44,282
1.85320104848241e-16,"ENSG00000158828","PINK1",45,74
2.35727607958872e-16,"ENSG00000229314","ORM1",46,72
3.27265202772485e-16,"ENSG00000196843","ARID5A",47,129
4.23444422502897e-16,"ENSG00000122367","LDB3",48,377
