"GTExN7MScountsPUBLISHED","GTExN7MScountsREPROCESSED","GTExNFK9countsPUBLISHED","GTExNFK9countsREPROCESSED","GTExO5YTcountsPUBLISHED","GTExO5YTcountsREPROCESSED"
1329,735,674,363,1040,574
836,474,956,542,2829,1537
960,69,1035,71,600,15
8,4,28,16,6,7
4,7,5,6,6,7
485,291,287,180,168,112
0,1,0,0,2,2
511,297,584,350,2017,1156
154,95,57,37,131,83
310,180,381,229,505,279
336,202,325,204,281,173
34,21,10,10,18,16
28,7,102,44,34,26
4311,3322,5929,3798,20690,12167
51,37,63,36,113,87
5,5,11,12,20,20
177,112,143,78,915,528
76,43,147,61,724,344
2043,1270,5961,3538,6383,3672
60,40,37,26,97,84
368,207,269,150,256,147
4884,3073,3737,2226,2599,1472
431,240,598,336,1033,567
2,1,1,0,6,4
456,288,366,207,767,426
277,176,245,135,171,116
4647,3236,3369,2062,1026,618
2,0,4,3,0,0
4,5,0,1,48,44
2,2,2,1,0,1
0,0,0,0,2,1
237,150,363,263,1474,840
37,22,94,55,1459,858
125,66,78,49,64,35
486,246,321,164,893,413
0,0,0,0,0,0
205,119,134,85,690,374
447,269,556,371,1748,974
10,6,5,5,6,6
2468,1407,971,556,763,443
6,3,10,7,42,18
500,330,470,266,665,375
135,84,132,80,55,30
759,421,562,301,802,433
1428,889,1251,750,3078,1737
855,490,1498,865,4608,2536
282,177,341,204,108,73
751,485,823,505,846,540
1759,1049,983,580,3343,1841
2630,1208,3175,1467,17089,7879
33,25,99,55,283,153
2,2,0,1,2,3
117,67,44,29,52,35
3,3,2,1,32,22
221,131,111,66,112,75
192,114,228,130,600,348
1926,1144,1790,1041,2514,1400
130,80,69,45,85,50
370,219,436,268,979,496
2700,1563,1505,912,3564,2179
679,414,497,299,399,237
493,306,528,327,2068,1121
5028,2976,7416,4302,22572,12412
600,348,339,209,453,281
76,57,28,19,32,44
180,97,187,103,181,116
112,80,295,178,187,141
16,9,7,6,11,15
45,30,74,46,19,21
0,0,0,0,0,0
331,191,221,125,495,280
36,41,16,21,28,35
6828,3992,861,501,568,329
348,184,542,251,783,331
0,0,0,0,0,0
0,1,1,3,0,2
4191,2455,2404,1421,8746,4969
1,2,6,3,10,15
0,0,0,0,6,4
5,3,60,45,28,27
36,27,101,56,433,259
12,7,11,4,3,6
1111,669,877,511,8423,4669
13,16,22,19,160,227
0,0,0,0,0,0
320,235,240,161,390,307
607,342,451,256,838,458
6,10,0,0,58,76
2785,1507,2522,1427,8130,4443
6,5,0,3,36,52
1750,994,1389,804,5055,2815
10,5,6,4,7,11
37,21,53,31,11,8
7,4,0,0,1,0
95,78,112,60,248,220
103,66,102,60,527,292
1299,774,2168,1275,218,180
7,11,4,1,19,18
3176,1882,2574,1505,1591,882
542,303,1116,620,5111,2640
2070,1702,1231,869,6139,3834
1107,796,1031,638,4462,2556
0,0,0,0,0,0
114,64,162,105,505,296
0,0,0,0,2,0
0,1,5,8,21,22
0,0,0,2,0,0
320,250,442,281,389,263
1,3,1,1,1,2
1789,1017,1388,803,5433,2966
5,2,0,0,0,0
7013,4074,4970,2862,16219,8949
453,271,550,320,1921,1069
0,0,0,0,0,0
457,263,544,320,301,182
0,0,0,0,0,0
763,469,508,310,227,208
82,36,40,21,206,85
0,0,0,0,0,0
393,240,364,218,1281,737
575,600,250,225,269,272
2,5,2,4,4,5
419,250,622,357,2763,1555
14,12,24,16,56,54
94,55,88,59,42,51
780,333,674,309,878,430
43,29,297,175,276,173
112,54,158,91,343,177
279,123,633,319,116,72
362,247,187,133,543,361
